ID;AAU Navn;Formaal;Delsystemer (komponenter);Leverandør (egenudvikling/ekstern (+ navn på leverandør);Produktnavn;Version (nuværende);Programområde;Programformand;BRM;Systemforvalter (eksisterende);Systemejer;Organisatorisk enhed;Eksisterende styregruppe;Forretningskritisk [Lav/Mellem/Høj];Faste licens og serviceaftaler art: 147148;Tilkøb nye licenser art: 147148;Ekstra service- og supportaftaler art: 147041;Vedligehold art: 147041;Udviklingsmidler art: 147041;I alt;Kommentarer (økonomi);SLA (URL);Backlog (link);Antal brugere;Service (fra Service katalog);Kontrakt;Supportgruppe i SUP;Klient afhængigheder;Eksiserende dokumentation (URL m.m.);Overvågning (er det etableret?);IFS driftspersoner;Hosting;URL;Brugervendt?;T/uge i ITS;T/uge AAU (-ITS);T/uge Ekstern;Bemærkning;Sidst Editeret af ;Dato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;WebBook;Booking af seminarrum m.m.;Studenterportal (groups.aau.dk);Webbook;?;?;Administration;MW;;;;TF;;Mellem;;;;;;;;;;;;;;;http://book.webbook.dk/auc/auc/manualsek.pdf;;;SaaS;http://book.webbook.dk/auc/portal_booking2/;;AIU: 0;;;Den får grupperum fra webbook (men ellers er den ikke integreret med Webbook). Micgael Collin har lavet groups.aau.dk.;MMH;05-02-2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Webservere - Linux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 15";;;Der er brugt en del tid på sikkerhedsopdateringer og omkonfiguration hvilket er med til at trække tidsforbruget op.;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Wordpress;System til webblogs til hjemmesider eller konferencer typisk m. eksterne brugere.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"AIU: 0
IFS: 1";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;Workstations Matematik (Ubuntu Linux);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AIU: 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;ØS LDV;Løndatavarehus - moderniseringsstyrelsen leverer periodiske data til applikationen;;Moderniseringstyrelsen;LDV;;Administration;;;;ØA;;;Mellem;;;;;;;;;;;;;;;;;KBA;ITS;;ja;IFS: 2;;;;HB;17-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ØSS;Økonomisystem;;ØSS Fællesskabet;Oracle E-business Suite;;Administration;MW;KK;ØS-IT (Knut Vik);ØA / Morten Winterberg;ØA;;;3.281.000;;;400.000;217.000;3.898.000;;;;;;;;;;;AM & GGL;ITS;;Ja;"AIU: 5
IFS: 50";?;?;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ØSS egenudvikling(rapporter, ws,scripts);Egenudviklet knopskydninger på ØSS;;egenudviklet ;Nemkonto, WS ØSS-RES,integreret rapportter;;Administration;;;Helle Eskildsen;ØA / Morten Winterberg;ØA;;;;;;;;;;;;;;;;;;;;;;Ja;AIU: 5;;;;HE;01-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;AAU Adgangskontrol;Web single signon;;Egenudvikling;AAU adgangskontrol;;ITS (internt);;;;;ITS;;Høj;;;;;;;;;;~30000;;;;;;;AHZ;;https://login.aau.dk/cas/login;;"AIU: 5
IFS: 1";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;AAU Fjernsupport;System til fjernsupport for ITS til alle AAU ansatte.;;;Bomgar;;ITS (internt);;;;;;;;;;;;;;;;;;;;;;;;;;support.its.aau.dk;ja;"AIU: 0
IFS: 1
SUP < 1t/uge";;;;MPB;16-12-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;AAU Håndbogen;Politikker, regler, procedurer mm. primært fra HR, Økonomi og Ledelsessekretariat;;Atira;AAU Håndbogen;1.0.0;Administration;;KK;AAU Kommunikation (brugersupport), ingen teknisk forvaltning pt.;HR/Ledelsessekretariatet?;;;;;;;;;;;;"Jira (oprettet 09/06 2015 oprettet 5 sager)
  https://jira.srv.aau.dk/jira/browse/HANDBOOK
";Ansatte i ADM, særligt HR, ØA og Ledelsessekretariat (inddatering) samt ansatte som søger efter dokumenter i AAU Håndbogen;;;;;"Confluence (oprettet 09-06 2015 - intet dokumenteret endnu)
  https://jira.srv.aau.dk/confluence/display/HANDBOOK
";;;;http://www.aauhaandbog.aau.dk/;;AIU: 10;;;"AAU Håndbogen har været behandlet i det administrative program, hvor det bl.a. lyder: ""Da AAU-Håndbogen er at betragte som et Intranet med fokus på information af regler og politikker bør det anbefales, at AAU-håndbogen tages med ind i det samlede billede i en kommende analyse af universitets behov for collaborative systemer""";RSF;10-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;AAU Maps;Visning af AAU adresser på kort;Google maps;Egenudviklet;AAU Maps;1.0;ITS (internt);;;;;ITS;;;;;;;;;;;;;;;Nej;;https://secure.aub.aau.dk/wiki/aauportal/index.php/AAUMap_(2012) (Gammelt og uopdateret?);;;;http://maps.aau.dk;;AIU: 5;;;Forvaltningsplan ønskes;CLA;02-06-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;AAU Search;;;;;;ITS (internt);;;;;ITS;;;;;;;;;;;;;;;;;;;;;;;AIU: 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;AAUcard;Web-modul til styring af studiekort/medarbejderkort/servicekort;Trækker data fra STADS og ScanPas;Egenudvikling;;;ITS (internt);;;Karl H. Hedegaard;Administrationen;;;;;;;;;;;;;;;;;;;;;;;;AIU: 8;;;MMH har if, udviklingsrunde i foråret spurgte TF, STS, AUB om de føler et systemejerskab. Desværre ikke, bortset fra deres respektive anvendelser.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;AAU-FRAV;Integration mellem sygefravær system og SLS HR-system mht at sende data for sygdom og barsel/forælderorlov til Modeniseringsstyrelsen;;Logistisc;AAU-FRAV;;Administration;MW;;Helle Eskildsen;HR-afdelingen;;;;;;;;;;;;;2 brugere;;;;;;;;;http://www.adm.aau.dk/vue/index.php;;AIU: 5;;;;HE;29-05-2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
